time,pv_production,wind_production,consumption,spot_market_price,precip_1h:mm,precip_type:idx,prob_precip_1h:p,clear_sky_rad:W,clear_sky_energy_1h:J,diffuse_rad:W,diffuse_rad_1h:Wh,direct_rad:W,direct_rad_1h:Wh,global_rad:W,global_rad_1h:Wh,sunshine_duration_1h:min,sun_azimuth:d,sun_elevation:d,low_cloud_cover:p,medium_cloud_cover:p,high_cloud_cover:p,total_cloud_cover:p,effective_cloud_cover:p,temp,relative_humidity_2m:p,dew_point_2m:C,wind_speed_2m:ms,wind_dir_2m:d,t_10m:C,relative_humidity_10m:p,dew_point_10m:C,wind_speed_10m:ms,wind_dir_10m:d,t_50m:C,relative_humidity_50m:p,dew_point_50m:C,wind_speed_50m:ms,wind_dir_50m:d,t_100m:C,relative_humidity_100m:p,dew_point_100m:C,wind_speed_100m:ms,wind_dir_100m:d
2020-01-01 13:00:00,0.0,40.59,26.51468889,0.28969,0.0,0.0,1.0,10.0,64826.0,7.4,12.991,0.3,1.888,7.7,14.879,26.0,202.656,1.346,13.2,56.7,97.4,99.0,80.7,8.3,62.2,1.5,4.1,245.4,8.3,61.8,1.4,5.8,245.4,8.4,60.7,1.3,8.4,246.3,8.3,60.3,1.0,10.4,247.3
2020-01-01 14:00:00,0.0,67.86,28.32696,0.29561,0.0,0.0,1.0,0.0,8961.1,0.0,3.695,0.0,0.132,0.0,3.827,16.6,216.093,-1.95,1.3,61.5,100.0,100.0,81.0,8.1,64.1,1.7,3.8,252.4,8.2,63.5,1.6,5.5,252.4,8.4,61.6,1.5,8.0,252.3,8.4,60.7,1.2,10.0,252.1
2020-01-01 15:00:00,0.0,116.68,23.68220667,0.30044,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,229.195,-6.501,3.4,92.3,100.0,100.0,96.3,8.3,62.3,1.5,4.7,254.3,8.4,61.8,1.5,6.8,254.3,8.5,60.3,1.3,9.6,254.1,8.4,59.6,1.0,11.7,253.8
2020-01-01 16:00:00,0.0,120.22,25.35478222,0.29975,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,242.043,-12.043,32.1,97.5,100.0,100.0,99.1,8.3,65.3,2.1,6.1,255.0,8.3,64.9,2.1,8.8,255.0,8.4,63.9,2.0,12.1,254.6,8.3,63.4,1.7,14.3,254.2
2020-01-01 17:00:00,0.0,109.86,23.86194222,0.2965,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,254.841,-18.288,92.2,98.6,100.0,100.0,99.9,7.0,80.6,3.9,5.9,249.4,7.1,80.2,3.9,8.4,249.4,7.2,78.9,3.8,11.7,249.5,7.1,77.9,3.5,13.9,249.7
2020-01-01 18:00:00,0.0,71.79,36.87287778,0.28979,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,267.909,-24.926,82.6,95.0,100.0,100.0,99.6,6.8,80.8,3.8,5.2,250.1,6.9,80.5,3.8,7.5,250.1,7.0,79.2,3.7,10.5,250.4,6.9,78.2,3.4,12.5,250.7
2020-01-01 19:00:00,0.0,55.29,56.87611999999999,0.27273,0.25,0.0,12.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,281.679,-31.616,94.3,100.0,100.0,100.0,100.0,7.2,80.6,4.1,4.8,250.2,7.2,80.3,4.1,6.9,250.2,7.4,79.0,4.0,9.7,250.7,7.3,78.1,3.7,11.6,251.4
2020-01-01 20:00:00,0.0,14.8,23.77333556,0.26957,0.91,1.0,43.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,296.68,-37.958,92.3,100.0,100.0,100.0,100.0,6.7,82.2,3.9,4.7,247.4,6.8,81.9,3.9,6.8,247.4,6.9,81.0,3.8,9.5,248.2,6.7,80.3,3.6,11.4,249.2
2020-01-01 21:00:00,0.0,5.78,20.89379333,0.25527,2.34,1.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,313.471,-43.457,54.7,100.0,100.0,100.0,100.0,6.1,85.9,3.9,3.8,251.9,6.2,85.7,3.9,5.5,251.9,6.2,84.6,3.9,7.8,252.6,6.1,83.8,3.6,9.6,253.5
2020-01-01 22:00:00,0.0,9.8,19.51656889,0.24471,1.38,0.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,332.395,-47.511,10.5,100.0,100.0,100.0,100.0,5.5,89.9,3.9,2.8,243.5,5.6,89.2,3.9,4.1,243.5,5.8,86.9,3.8,6.1,245.2,5.8,85.3,3.5,7.8,247.4
